Dataset,Full_F1,NoPrivacy_F1,Utility_Drop_vs_NoPrivacy,NonIID_Penalty_vs_IID,Context_Component_Gain,Byzantine_Filter_Gain,LabelFlip_Retention,Poison_Retention,Sigma0_to_005_Drop
CIC-DDoS2019,0.9979098628347486,0.9980417754569191,0.0001319126221704936,0.0001306335728281649,0.0008470079297162592,0.00019609968888667506,0.9999338407651138,0.9990228106776176,-0.0005872752424128658
NSL-KDD,0.9757424620267513,0.9862296574485034,0.010487195421752138,0.008474638007312518,0.002463476519504959,-0.0014860538217439379,1.0020137534268934,1.0049524769141307,0.013047496406795034
UNSW-NB15,0.854813903414334,0.8570971867007673,0.0022832832864332353,0.0038165793878117693,0.0021270596836361344,0.005146919589405385,1.0052086000565823,1.0033615704642689,-0.07332491507111905
