Dataset,Train Time (s),Rounds,Best Threshold,Best Val F1
CIC-DDoS2019,36.04040169715881,19,0.26,0.9988246049366593
NSL-KDD,36.834930181503296,24,0.75,0.9847136664385124
UNSW-NB15,26.32880187034607,23,0.45000000000000007,0.8588684043229498
