Dataset,Attack,Accuracy,F1,ROC-AUC
CIC-DDoS2019,label_flip,0.9966854158296504,0.997843841881738,0.9997104615491116
CIC-DDoS2019,poison_update,0.9952792286058658,0.9969347159720864,0.9997950288650366
NSL-KDD,label_flip,0.9777375974686405,0.9777073667534231,0.9976673575134827
NSL-KDD,poison_update,0.9806757825743022,0.9805748040440759,0.9984088641589456
UNSW-NB15,label_flip,0.8556600713590659,0.8592662871600253,0.9472648616659645
UNSW-NB15,poison_update,0.8546869931884528,0.8576874205844981,0.945307816233619
